epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.8937,1.25091,2.77665,1.39245,0.37271,1,0.42325,0.34282,0.69467,2.09918,1.09615,2e-05,2e-05,2e-05
2,52.8964,1.20766,2.77115,1.45207,0.20922,1,0.4975,0.4202,0.6332,2.1038,1.08028,5.901e-05,5.901e-05,5.901e-05
3,71.9372,1.08622,2.35801,1.20829,0.42523,1,0.45036,0.37932,0.62489,2.10255,1.05987,9.67e-05,9.67e-05,9.67e-05
4,92.1008,1.15863,2.51123,1.50256,0.49756,1,0.863,0.75694,0.45218,3.09264,0.9242,0.00013307,0.00013307,0.00013307
5,113.042,1.13169,2.00682,1.48134,1,0.97174,0.995,0.67661,1.32509,1.7142,1.6614,0.00016812,0.00016812,0.00016812
6,134.842,0.83088,1.37812,1.14837,1,1,0.995,0.64518,1.15339,1.69339,1.84522,0.00020185,0.00020185,0.00020185
7,155.957,1.0235,1.69249,1.40877,0.10851,0.33333,0.08789,0.02658,1.71238,3.30979,1.50489,0.00023426,0.00023426,0.00023426
8,184.104,0.84367,1.67169,1.14666,0.97566,1,0.995,0.92908,0.48935,0.89178,0.88646,0.00026535,0.00026535,0.00026535
9,211.278,0.87037,1.44414,1.18613,1,1,0.995,0.8955,0.45339,4.05856,0.88216,0.00029512,0.00029512,0.00029512
10,235.226,0.75841,1.01013,1.13592,1,1,0.995,0.81282,0.51131,2.64655,0.95292,0.00032357,0.00032357,0.00032357
11,258.315,0.90439,1.16441,1.27219,1,1,0.995,0.46121,1.06138,4.25929,1.42293,0.0003507,0.0003507,0.0003507
12,283.068,0.63206,0.94839,0.98939,1,1,0.995,0.42444,1.12168,6.0252,1.73763,0.00037651,0.00037651,0.00037651
13,307.114,0.64568,0.88921,0.99643,1,1,0.995,0.46267,0.95514,9.84562,1.49077,0.000401,0.000401,0.000401
14,335.584,0.94685,1.1666,1.24213,0.6,1,0.83,0.50037,0.84223,17.1398,1.39925,0.00042417,0.00042417,0.00042417
15,362.423,0.70884,0.79976,1.07007,0.5,1,0.665,0.37544,1.15323,17.8365,1.95851,0.00044602,0.00044602,0.00044602
16,391.423,0.86134,0.9125,1.2375,1,1,0.995,0.56525,1.35317,11.0594,2.64173,0.00046655,0.00046655,0.00046655
17,419.252,0.63019,0.65887,1.03653,1,1,0.995,0.47717,1.96668,10.8564,3.87835,0.00048576,0.00048576,0.00048576
18,443.498,0.73339,0.98311,1.08474,0.69749,1,0.9125,0.50879,1.28672,10.1728,1.59796,0.00050365,0.00050365,0.00050365
19,468.075,0.89377,1.0015,1.21226,1,0.66667,0.995,0.71329,1.00959,6.81768,1.5719,0.00052022,0.00052022,0.00052022
20,490.849,0.66612,0.80056,0.99025,0.5,1,0.731,0.39939,1.00737,11.5882,1.49308,0.00053547,0.00053547,0.00053547
21,513.881,1.11192,0.9498,1.37949,0.5,1,0.995,0.45349,1.28179,11.7955,1.80658,0.0005494,0.0005494,0.0005494
22,536.557,0.68289,0.81691,1.07478,0.6,1,0.753,0.36611,1.2445,12.4667,2.07085,0.00056201,0.00056201,0.00056201
23,556.482,0.75601,0.67592,1.14384,0.75,1,0.995,0.41271,1.23191,8.53939,3.09137,0.0005733,0.0005733,0.0005733
24,577.84,0.81782,0.68957,1.16719,0.6,1,0.83,0.5892,0.84298,14.7647,1.43592,0.00058327,0.00058327,0.00058327
25,599.233,0.73866,0.73122,1.06355,1,1,0.995,0.61379,1.24575,10.0778,2.908,0.00059192,0.00059192,0.00059192
26,620.816,0.72476,0.7409,1.17932,0.75,1,0.995,0.73009,0.84348,5.68076,1.41579,0.00059925,0.00059925,0.00059925
27,643.158,0.7938,0.72091,1.15388,1,1,0.995,0.73012,0.93973,4.76187,1.57159,0.00060526,0.00060526,0.00060526
28,664.877,0.90666,0.89701,1.24945,1,1,0.995,0.73012,0.93973,4.76187,1.57159,0.00060995,0.00060995,0.00060995
