epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.02978,1.26433,6.58594,1.33179,0.0485,0.66667,0.06351,0.03893,1.45002,6.6153,1.68294,2e-05,2e-05,2e-05
2,6.9388,1.18778,6.2342,1.33253,0.05119,0.66667,0.07032,0.04385,1.43404,6.55754,1.6737,5.901e-05,5.901e-05,5.901e-05
3,9.38211,1.25052,6.61462,1.27817,0.06151,0.66667,0.08152,0.05039,1.40152,6.57671,1.66589,9.67e-05,9.67e-05,9.67e-05
4,11.9551,1.13824,7.22796,1.33603,0.91854,0.66667,0.83,0.64219,0.68614,3.12295,1.03447,0.00013307,0.00013307,0.00013307
5,15.2659,0.90466,4.00964,1.15648,0.7057,1,0.9125,0.87129,0.36764,5.05255,0.87264,0.00016812,0.00016812,0.00016812
6,18.3288,1.10302,3.68227,1.15315,0.98411,1,0.995,0.9067,0.40787,2.53938,0.87424,0.00020185,0.00020185,0.00020185
7,21.5309,0.78793,3.08725,1.11747,0.98048,1,0.995,0.95104,0.31525,2.43911,0.82378,0.00023426,0.00023426,0.00023426
8,24.6997,0.87152,2.23695,1.09037,0.97015,1,0.995,0.92904,0.38435,2.41241,0.84893,0.00026535,0.00026535,0.00026535
9,27.8065,0.62168,1.84639,0.96783,0.9785,1,0.995,0.796,0.86355,3.18388,1.44751,0.00029512,0.00029512,0.00029512
10,30.4576,0.6185,1.58199,0.97534,0.98182,1,0.995,0.75204,1.05011,3.10529,1.81632,0.00032357,0.00032357,0.00032357
11,33.5124,0.82928,1.59612,1.15139,0.97528,1,0.995,0.65257,1.15222,3.47811,1.77803,0.0003507,0.0003507,0.0003507
12,36.9333,0.67901,1.43573,0.96997,0.98658,1,0.995,0.84037,0.42753,2.90704,0.88306,0.00037651,0.00037651,0.00037651
13,39.7372,0.53349,1.20639,0.86491,0.98672,1,0.995,0.79644,0.57396,3.41979,1.01874,0.000401,0.000401,0.000401
14,42.5341,0.71542,1.28159,1.07202,0.9866,1,0.995,0.81878,0.6856,3.7402,1.29185,0.00042417,0.00042417,0.00042417
15,45.9788,0.58975,1.01662,0.97554,0.98612,1,0.995,0.86311,0.62096,4.12378,1.28433,0.00044602,0.00044602,0.00044602
16,49.1005,0.55571,1.1547,0.87437,0.98534,1,0.995,0.83015,0.74276,5.60132,1.40109,0.00046655,0.00046655,0.00046655
17,51.7297,0.58033,0.81352,0.89656,0.98225,1,0.995,0.79719,0.85901,6.59029,1.47151,0.00048576,0.00048576,0.00048576
18,54.5186,0.57055,0.84821,0.92629,0.97931,1,0.995,0.96204,0.46001,6.03664,0.88625,0.00050365,0.00050365,0.00050365
19,57.9962,0.50248,0.80482,0.89465,0.98443,1,0.995,0.91229,0.43197,4.75517,0.88813,0.00052022,0.00052022,0.00052022
20,60.5612,0.51318,0.81043,0.91353,0.97747,1,0.995,0.91229,0.46211,4.90602,0.96096,0.00053547,0.00053547,0.00053547
21,63.4174,0.72829,0.86234,1.1096,0.98088,1,0.995,0.8955,0.6036,5.87448,1.06245,0.0005494,0.0005494,0.0005494
22,66.5795,0.58912,0.74485,0.92577,0.95315,1,0.995,0.5263,0.75631,9.35314,1.45706,0.00056201,0.00056201,0.00056201
23,69.6432,0.63389,0.75978,0.99299,0.93035,1,0.995,0.59223,1.00674,10.9212,1.59594,0.0005733,0.0005733,0.0005733
24,72.5094,0.62803,0.63609,0.9868,0.98368,1,0.995,0.8955,0.47254,5.6222,0.87961,0.00058327,0.00058327,0.00058327
25,75.1721,0.60161,0.71993,0.99961,0.98497,1,0.995,0.91229,0.4945,5.62314,0.915,0.00059192,0.00059192,0.00059192
26,77.8242,0.55186,0.71773,0.9377,0.98445,1,0.995,0.91229,0.43653,4.61189,0.90243,0.00059925,0.00059925,0.00059925
27,80.382,0.58993,0.73315,0.96317,0.98199,1,0.995,0.8955,0.50974,4.08318,0.93187,0.00060526,0.00060526,0.00060526
28,83.697,0.60966,0.74423,0.91149,0.98199,1,0.995,0.8955,0.50974,4.08318,0.93187,0.00060995,0.00060995,0.00060995
29,86.4504,0.66205,0.69177,0.97948,0.98517,1,0.995,0.8955,0.5743,3.12054,0.99619,0.00061332,0.00061332,0.00061332
